Processed 301000 numbers: avg=2336640.62, median=797121.00, uniques=292011
Processed 302000 numbers: avg=2341318.94, median=797683.20, uniques=292965
Processed 303000 numbers: avg=2345995.15, median=797911.00, uniques=293906
Processed 304000 numbers: avg=2359558.68, median=801890.70, uniques=294847
Processed 305000 numbers: avg=2361338.50, median=803029.70, uniques=295785
Processed 306000 numbers: avg=2363722.40, median=804063.80, uniques=296717
Processed 307000 numbers: avg=2373883.63, median=804440.70, uniques=297656
Processed 308000 numbers: avg=2374479.29, median=804440.70, uniques=298603
Processed 309000 numbers: avg=2375805.31, median=804761.70, uniques=299552
Processed 310000 numbers: avg=2377819.72, median=805026.70, uniques=300506
Processed 311000 numbers: avg=2382959.95, median=813684.10, uniques=301454
Processed 312000 numbers: avg=2383941.04, median=813684.10, uniques=302382
Processed 313000 numbers: avg=2388719.35, median=815747.00, uniques=303304
Processed 314000 numbers: avg=2398795.99, median=817596.90, uniques=304242
Processed 315000 numbers: avg=2401455.06, median=819308.50, uniques=305184
Processed 316000 numbers: avg=2409686.36, median=823298.10, uniques=306123
Processed 317000 numbers: avg=2411202.77, median=823298.10, uniques=307061
Processed 318000 numbers: avg=2414574.06, median=826987.60, uniques=308005
Processed 319000 numbers: avg=2423243.69, median=834276.80, uniques=308932
Processed 320000 numbers: avg=2424578.72, median=835131.00, uniques=309872
Processed 321000 numbers: avg=2426234.00, median=835974.20, uniques=310809
Processed 322000 numbers: avg=2432047.97, median=835974.20, uniques=311761
Processed 323000 numbers: avg=2433451.99, median=835974.20, uniques=312705
Processed 324000 numbers: avg=2436738.41, median=843361.10, uniques=313644
Processed 325000 numbers: avg=2441318.51, median=848544.20, uniques=314578
Processed 326000 numbers: avg=2443016.61, median=848544.20, uniques=315518
Processed 327000 numbers: avg=2443727.01, median=848544.20, uniques=316450
Processed 328000 numbers: avg=2444715.07, median=849574.30, uniques=317391
Processed 329000 numbers: avg=2446679.42, median=850699.70, uniques=318333
Processed 330000 numbers: avg=2451601.58, median=850802.30, uniques=319278
Processed 331000 numbers: avg=2452063.91, median=850802.30, uniques=320205
Processed 332000 numbers: avg=2458542.86, median=852327.60, uniques=321145
Processed 333000 numbers: avg=2462031.26, median=853983.00, uniques=322068
Processed 334000 numbers: avg=2471099.90, median=860018.40, uniques=322997
Processed 335000 numbers: avg=2471717.34, median=860018.40, uniques=323934
Processed 336000 numbers: avg=2484187.48, median=862276.90, uniques=324867
Processed 337000 numbers: avg=2484973.19, median=862276.90, uniques=325808
Processed 338000 numbers: avg=2486909.27, median=864841.00, uniques=326742
Processed 339000 numbers: avg=2492677.62, median=868138.20, uniques=327669
Processed 340000 numbers: avg=2494877.05, median=870487.70, uniques=328601
Processed 341000 numbers: avg=2495444.48, median=870487.70, uniques=329538
Processed 342000 numbers: avg=2500649.44, median=874859.50, uniques=330469
Processed 343000 numbers: avg=2502300.34, median=875817.50, uniques=331415
Processed 344000 numbers: avg=2513457.95, median=878699.50, uniques=332353
Processed 345000 numbers: avg=2514527.47, median=881517.00, uniques=333272
Processed 346000 numbers: avg=2517488.27, median=881517.00, uniques=334205
Processed 347000 numbers: avg=2519564.34, median=884449.80, uniques=335147
Processed 348000 numbers: avg=2523932.55, median=888766.40, uniques=336074
Processed 349000 numbers: avg=2531903.16, median=890721.80, uniques=337006
Processed 350000 numbers: avg=2532701.97, median=890721.80, uniques=337932
Processed 351000 numbers: avg=2535461.27, median=891639.20, uniques=338856
Processed 352000 numbers: avg=2539995.63, median=892400.20, uniques=339780
Processed 353000 numbers: avg=2542462.67, median=893013.00, uniques=340712
Processed 354000 numbers: avg=2543702.36, median=893013.00, uniques=341640
Processed 355000 numbers: avg=2557975.57, median=894086.30, uniques=342576
Processed 356000 numbers: avg=2559914.59, median=894525.60, uniques=343506
Processed 357000 numbers: avg=2561376.23, median=894525.60, uniques=344445
Processed 358000 numbers: avg=2564942.62, median=898375.60, uniques=345371
